 12Z 18 Aug 2017   106.47  29.21
 00Z 19 Aug 2017   2013.84  23.16
 12Z 19 Aug 2017   0.00  18.05
 00Z 20 Aug 2017   726.42  30.15
 12Z 20 Aug 2017   1.99  33.89
 00Z 21 Aug 2017   1800.59  40.96
 12Z 21 Aug 2017   0.00  43.70
 00Z 22 Aug 2017   1341.29  38.14
 12Z 22 Aug 2017   0.00  20.19
 00Z 23 Aug 2017   0.00  13.73
 12Z 23 Aug 2017   0.00  23.99
 00Z 24 Aug 2017   0.00  25.98
 12Z 24 Aug 2017   0.00  25.59
 00Z 25 Aug 2017   25.33  29.69
 00Z 26 Aug 2017   778.77  32.33
 12Z 26 Aug 2017   0.00  35.33
 00Z 27 Aug 2017   2639.01  35.43
 12Z 27 Aug 2017   1198.94  37.04
 00Z 28 Aug 2017   783.11  21.33
 12Z 28 Aug 2017   0.00  19.36
 00Z 29 Aug 2017   0.00  20.87
 12Z 29 Aug 2017   0.00  21.42
 00Z 30 Aug 2017   2.67  22.92
 12Z 30 Aug 2017   0.00  22.74
 00Z 31 Aug 2017   287.76  24.17
 12Z 31 Aug 2017   15.19  24.70
 00Z 01 Sep 2017   273.55  27.30
 12Z 01 Sep 2017   0.00  30.84
 00Z 02 Sep 2017   314.66  36.16
 12Z 02 Sep 2017   0.00  32.25
 00Z 03 Sep 2017   449.90  31.86
 12Z 03 Sep 2017   330.08  25.96
 00Z 04 Sep 2017   738.78  26.38
 12Z 04 Sep 2017   0.00  17.89
 18Z 04 Sep 2017   0.00  20.22
 00Z 05 Sep 2017   0.00  25.60
 06Z 05 Sep 2017   0.00  12.59
 12Z 05 Sep 2017   0.00  12.05
 18Z 05 Sep 2017   0.00  10.47
 00Z 06 Sep 2017   4.16  12.13
 06Z 06 Sep 2017   0.00  14.61
 12Z 06 Sep 2017   0.00  14.00
 18Z 06 Sep 2017   5.21  14.18
 00Z 07 Sep 2017   0.00  15.92
 06Z 07 Sep 2017   0.00  17.48
 12Z 07 Sep 2017   0.00  18.94
 18Z 07 Sep 2017   0.00  18.16
 00Z 08 Sep 2017   0.00  18.25
 06Z 08 Sep 2017   0.00  21.46
 12Z 08 Sep 2017   0.00  22.80
 18Z 08 Sep 2017   0.00  23.60
 00Z 09 Sep 2017   384.38  30.76
 06Z 09 Sep 2017   11.22  26.58
 12Z 09 Sep 2017   0.00  23.72
 18Z 09 Sep 2017   7.10  25.46
 00Z 10 Sep 2017   3.29  27.92
 12Z 10 Sep 2017   0.00  31.74
 00Z 11 Sep 2017   0.28  32.03
 12Z 11 Sep 2017   0.00  30.44
 21Z 11 Sep 2017   0.00  29.89
 12Z 12 Sep 2017   0.00  23.50
 00Z 13 Sep 2017   12.04  27.29
 12Z 13 Sep 2017   0.00  23.80
 00Z 14 Sep 2017   27.33  29.02
 12Z 14 Sep 2017   0.00  27.81
 00Z 15 Sep 2017   208.62  29.17
 12Z 15 Sep 2017   0.00  34.98
 00Z 16 Sep 2017   934.69  35.18
 12Z 16 Sep 2017   578.16  37.99
 00Z 17 Sep 2017   0.00  37.82
 12Z 17 Sep 2017   0.00  16.96
 00Z 18 Sep 2017   0.00  22.54
 12Z 18 Sep 2017   0.00  39.34
 00Z 19 Sep 2017   966.73  31.69
 12Z 19 Sep 2017   284.01  31.88
 18Z 19 Sep 2017   714.12  25.71
 00Z 20 Sep 2017   2594.97  30.40
 12Z 20 Sep 2017   0.00  23.63
 00Z 21 Sep 2017   0.00  17.39
 12Z 21 Sep 2017   0.00  34.59
 00Z 22 Sep 2017   3590.22  32.46
 12Z 22 Sep 2017   1793.34  36.74
 00Z 23 Sep 2017   1503.31  35.33
 12Z 23 Sep 2017   276.39  32.08
 00Z 24 Sep 2017   261.41  31.44
 12Z 24 Sep 2017   50.56  29.66
 00Z 25 Sep 2017   72.18  50.19
 12Z 25 Sep 2017   0.00  36.17
 00Z 26 Sep 2017   0.00  34.97
 12Z 26 Sep 2017   0.00  25.02
 00Z 27 Sep 2017   0.00  15.78
 12Z 27 Sep 2017   0.00  14.69
 00Z 28 Sep 2017   0.00  16.35
 12Z 28 Sep 2017   0.00  18.73
